DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
34,34,61,61,61,26,26,17,17,85,85,23,31,5,36,31,25,93,78,86,48,73,14,88,182,63,71,60,3,183,229,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,8,8,8,59,59,52,52,71,71,53,25,50,6,87,188,33,3,25,17,124,13,21,33,115,46,17,100,110,171,52,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,9,9,9,55,55,47,47,42,42,6,10,26,16,92,246,17,17,80,66,46,50,32,8,109,36,146,90,168,20,136,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,26,26,26,17,17,22,22,12,12,31,5,5,14,8,93,33,2,86,34,28,6,37,148,43,3,92,44,224,72,60,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,59,59,59,52,52,70,70,10,10,25,50,36,24,16,14,23,24,69,17,14,148,134,25,42,62,18,89,237,63,112,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,55,55,55,47,47,94,94,3,3,7,26,6,10,188,18,55,55,50,73,25,31,95,134,30,105,126,134,136,223,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,17,17,17,22,22,7,7,25,25,2,5,16,31,246,17,19,17,5,124,110,21,48,14,32,276,29,97,7,37,276,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,52,52,52,70,70,48,48,23,23,5,36,14,87,93,33,78,86,3,46,14,36,37,45,185,83,69,47,234,70,369,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,47,47,47,94,94,36,36,53,53,10,6,24,92,14,23,3,25,43,28,13,53,78,63,35,25,25,212,14,72,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,22,22,22,7,7,53,53,6,6,37,16,10,8,18,55,17,80,17,14,50,75,55,115,9,116,98,56,413,45,124,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,70,70,70,48,48,18,18,31,31,26,14,31,16,17,19,2,86,66,25,6,11,8,24,240,2,92,87,42,135,261,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,94,94,94,36,36,42,42,25,25,5,24,87,53,33,78,24,69,34,86,132,21,182,83,148,250,71,273,120,3,2,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,7,7,7,53,53,12,12,7,7,12,10,92,133,23,3,55,50,17,22,12,32,33,43,116,77,33,12,40,25,61,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,48,48,48,18,18,10,10,2,2,23,31,8,43,55,17,17,5,73,14,31,37,8,42,70,60,28,45,142,49,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,36,36,36,42,42,3,3,5,5,6,87,16,154,19,2,86,3,124,13,21,88,148,30,53,17,63,273,113,108,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,53,53,53,12,12,25,25,10,10,16,92,53,46,78,24,25,43,252,50,36,43,25,32,71,24,51,136,224,50,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,18,18,18,10,10,23,23,27,27,14,8,133,62,3,55,80,17,46,6,53,95,59,185,116,119,32,16,46,183,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,42,42,42,3,3,53,53,8,8,24,16,43,30,17,17,86,66,28,132,75,48,72,35,46,92,237,174,79,104,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,12,12,12,25,25,6,6,26,26,10,53,154,14,2,86,69,34,14,12,11,48,14,9,36,18,21,174,19,74,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,10,10,10,23,23,31,31,5,5,31,133,46,18,24,25,50,17,25,31,21,37,45,240,3,45,27,148,144,139,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,3,3,3,53,53,25,25,12,12,37,43,62,17,55,80,5,73,74,21,32,34,63,10,62,78,70,41,50,218,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,22,22,22,6,6,7,7,23,23,49,154,30,33,17,86,3,124,6,36,37,42,46,89,105,29,76,38,80,101,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,3,3,3,31,31,2,2,6,6,32,46,14,23,86,69,43,252,22,53,88,55,67,44,276,69,56,145,135,82,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,23,23,23,25,25,5,5,16,16,59,62,18,55,18,50,17,8,14,75,43,8,24,74,83,25,76,30,179,41,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,53,53,53,7,7,10,10,14,14,8,4,17,19,6,5,66,36,13,11,95,182,69,34,25,98,79,34,4,58,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,6,6,6,2,2,27,27,24,24,16,25,33,78,80,3,34,28,50,21,48,33,11,3,93,27,20,16,144,230,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,31,31,31,5,5,8,8,10,10,53,14,23,3,59,28,17,14,6,32,48,8,43,70,19,61,14,113,149,41,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,25,25,25,10,10,26,26,31,31,133,18,55,17,54,14,73,25,63,37,37,148,42,53,2,87,142,62,84,137,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,7,7,7,27,27,5,5,19,19,43,14,19,2,86,17,28,11,55,88,34,25,30,71,235,71,3,34,128,36,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,2,2,2,8,8,12,12,17,17,154,2,78,24,69,66,94,60,9,43,42,59,32,116,12,33,100,183,7,52,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,5,5,5,26,26,23,23,49,49,46,33,3,55,50,34,252,6,12,77,44,72,185,46,77,28,20,110,135,136,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
