ti,tf,T,S,Archivo
1183,1183,1,-2.034197000000006,7
1217,1218,2,-10.19049800000002,7
1238,1238,1,-2.8564580000000035,7
1245,1245,1,-3.529217999999986,7
1253,1253,1,-2.7356910000000028,7
1316,1316,1,-2.4370169999999973,7
1360,1360,1,-1.693788000000012,7
1394,1394,1,-1.6662489999999934,7
1433,1433,1,-2.9137310000000127,7
1481,1481,1,-1.885438999999991,7
1527,1527,1,-1.7293860000000052,7
32,32,1,-1.760752,8
38,38,1,-1.6921740000000014,8
205,205,1,-1.9308389999999989,8
309,309,1,-2.162267,8
388,388,1,-2.6040010000000002,8
611,611,1,-1.4754830000000005,8
653,654,2,-6.070820000000005,8
709,709,1,-2.1143320000000045,8
716,716,1,-3.042966,8
762,762,1,-1.672117,8
770,770,1,-1.7726609999999994,8
813,814,2,-5.6278720000000035,8
839,839,1,-2.8300629999999956,8
846,848,3,-16.674285999999995,8
910,910,1,-5.008910999999998,8
928,928,1,-2.033460000000005,8
964,964,1,-2.008714000000012,8
985,985,1,-2.0221620000000087,8
1002,1002,1,-8.407844999999995,8
1005,1005,1,-6.449536000000009,8
1040,1040,1,-2.6883980000000065,8
1053,1053,1,-3.1320130000000006,8
1076,1076,1,-1.3468019999999967,8
1080,1080,1,-1.4771800000000042,8
1093,1093,1,-3.0805819999999926,8
1117,1118,2,-10.763767999999999,8
1167,1167,1,-3.6957840000000033,8
1191,1191,1,-1.4407050000000083,8
1236,1237,2,-7.531079000000005,8
1255,1255,1,-2.4367129999999975,8
1320,1320,1,-2.620773000000014,8
1374,1374,1,-1.7694359999999847,8
1474,1474,1,-1.5864950000000135,8
32,32,1,-1.6728129999999997,9
35,35,1,-3.0844260000000006,9
37,38,2,-5.532199,9
175,175,1,-1.9551789999999976,9
325,325,1,-1.6591909999999999,9
364,364,1,-1.5213730000000005,9
401,401,1,-1.508545999999999,9
555,555,1,-1.6567940000000014,9
651,651,1,-2.2701100000000025,9
673,673,1,-3.9817959999999957,9
718,718,1,-2.3910009999999957,9
770,770,1,-4.025967000000001,9
785,785,1,-2.8854550000000003,9
831,831,1,-5.214443999999993,9
837,837,1,-2.9385879999999958,9
851,851,1,-2.513801000000001,9
870,870,1,-3.8767939999999896,9
875,876,2,-7.640837000000005,9
908,909,2,-9.901589999999999,9
943,945,3,-13.984848999999997,9
1008,1008,1,-1.656284999999997,9
1022,1022,1,-3.2592049999999944,9
1039,1039,1,-2.3833589999999987,9
1111,1111,1,-3.234718000000015,9
1131,1132,2,-13.883350000000007,9
1166,1166,1,-1.7213210000000174,9
1168,1169,2,-7.238516000000004,9
1179,1179,1,-2.4331700000000183,9
1182,1182,1,-2.6188689999999895,9
1229,1229,1,-1.9293270000000007,9
1261,1261,1,-1.7513340000000142,9
1276,1276,1,-2.1635689999999954,9
1349,1349,1,-2.3005249999999933,9
1359,1359,1,-3.3494770000000074,9
1424,1424,1,-5.038710999999978,9
30,31,2,-2.5529590000000004,10
34,34,1,-1.3609519999999993,10
36,38,3,-5.861117,10
149,149,1,-1.8875550000000025,10
246,246,1,-2.1714710000000004,10
273,273,1,-1.540222,10
609,609,1,-1.4328450000000004,10
684,685,2,-14.393605,10
799,799,1,-2.065545,10
803,803,1,-2.0348919999999993,10
831,831,1,-2.616011999999998,10
835,835,1,-4.679647999999986,10
862,862,1,-2.4455389999999966,10
882,882,1,-2.2569249999999954,10
892,892,1,-3.0975679999999954,10
905,905,1,-4.384419000000008,10
909,909,1,-2.8907269999999983,10
912,912,1,-4.196828999999994,10
948,948,1,-6.35718700000001,10
953,954,2,-10.149736000000004,10
1006,1006,1,-2.829215000000005,10
1027,1028,2,-9.817439000000007,10
1076,1076,1,-2.9853840000000105,10
1084,1084,1,-7.937070000000006,10
1091,1091,1,-2.7662349999999947,10
1116,1116,1,-1.7614560000000097,10
1158,1158,1,-8.90973200000002,10
1221,1221,1,-2.4504029999999943,10
1248,1248,1,-2.104457999999994,10
1263,1263,1,-1.7514810000000125,10
1277,1277,1,-4.762255999999979,10
1294,1295,2,-4.379784999999998,10
1345,1345,1,-2.5075720000000103,10
1421,1421,1,-1.8407760000000053,10
1446,1446,1,-1.4904870000000017,10
1496,1496,1,-2.7345399999999813,10
34,34,1,-1.5953600000000012,11
36,38,3,-6.938203999999999,11
251,251,1,-1.672544000000002,11
289,289,1,-2.4741180000000007,11
409,409,1,-1.7581710000000008,11
418,418,1,-1.7416209999999985,11
478,478,1,-1.881617000000002,11
495,495,1,-1.8888120000000015,11
634,634,1,-2.0980129999999946,11
678,678,1,-2.689948000000001,11
699,699,1,-2.610802999999997,11
733,733,1,-1.8827130000000025,11
742,742,1,-1.867767999999998,11
797,797,1,-8.689450999999998,11
817,817,1,-3.7592640000000017,11
846,847,2,-8.473880999999992,11
862,862,1,-4.588801000000004,11
885,886,2,-7.904502000000008,11
892,892,1,-5.179189000000008,11
952,952,1,-1.6602749999999986,11
957,958,2,-10.064647999999991,11
984,984,1,-4.069906000000003,11
995,995,1,-3.0250190000000003,11
1046,1047,2,-6.359108000000006,11
1065,1066,2,-8.44798800000001,11
1103,1104,2,-3.9234440000000177,11
1174,1175,2,-5.702990999999997,11
1257,1257,1,-1.8606220000000064,11
1345,1345,1,-6.253951999999998,11
1354,1354,1,-4.298907999999983,11
1398,1398,1,-1.667775000000006,11
1471,1471,1,-1.7925470000000132,11
33,33,1,-1.7804019999999987,12
36,36,1,-2.0205509999999993,12
38,38,1,-3.679183,12
216,216,1,-1.7777359999999973,12
229,229,1,-2.6277779999999993,12
392,392,1,-1.5335880000000017,12
401,401,1,-2.5402829999999987,12
