ti,tf,T,S,Archivo
878,879,2,0.4358999999999966,4
282,283,2,0.46199999999999974,5
308,310,3,0.9481000000000002,5
380,380,1,0.18069999999999808,5
408,409,2,0.8679999999999986,5
451,454,4,1.3782999999999994,5
470,474,5,13.131729999999997,5
592,594,3,1.32807,5
613,617,5,8.929585,5
621,621,1,0.24587000000000003,5
635,638,4,3.00634,5
663,670,8,21.206400000000002,5
739,740,2,0.8289000000000044,5
816,816,1,0.21050000000000324,5
892,893,2,0.6966999999999999,5
901,901,1,0.23089999999999833,5
945,947,3,0.882799999999996,5
337,339,3,0.8457000000000008,6
361,363,3,1.1064000000000007,6
400,404,5,5.083170000000001,6
434,435,2,0.4786999999999999,6
480,483,4,7.512109000000001,6
531,537,7,25.538854,6
540,540,1,0.2887999999999984,6
547,547,1,0.23840000000000217,6
565,567,3,1.8049,6
603,604,2,0.5960000000000001,6
607,607,1,0.2755999999999972,6
645,645,1,0.18250000000000455,6
661,661,1,0.3054000000000059,6
684,691,8,5.6569,6
789,791,3,0.8828999999999994,6
799,799,1,0.2738999999999976,6
828,828,1,0.1880999999999986,6
998,998,1,0.28119999999999834,6
385,385,1,0.359490000000001,7
399,404,6,4.26361,7
418,419,2,0.7189800000000002,7
496,500,5,14.41504,7
527,529,3,1.2386,7
558,563,6,22.1171,7
585,587,3,0.7245999999999952,7
599,599,1,0.2364999999999995,7
611,615,5,2.4716999999999985,7
694,697,4,1.9633000000000038,7
746,747,2,0.5309000000000026,7
776,779,4,1.927900000000001,7
836,836,1,0.23289999999999367,7
983,983,1,0.20489999999999498,7
116,116,1,0.21233999999999975,8
170,170,1,0.25332,8
252,252,1,0.35017899999999996,8
312,312,1,0.195579,8
340,340,1,0.214206,8
470,473,4,4.39029,8
479,483,5,13.46518,8
494,497,4,2.587200000000001,8
562,570,9,17.141999999999996,8
604,604,1,0.2961000000000027,8
636,640,5,3.5949000000000026,8
655,655,1,0.23100000000000165,8
676,679,4,2.544400000000003,8
724,726,3,1.6632999999999996,8
730,730,1,0.22349999999999426,8
741,744,4,4.813099999999999,8
934,936,3,1.0914999999999964,8
1027,1027,1,0.23099999999999454,8
289,290,2,0.7394599999999993,9
390,390,1,0.21230000000000082,9
431,434,4,2.5853199999999994,9
465,467,3,1.20885,9
530,530,1,0.37256,9
539,548,10,25.06386,9
568,570,3,1.0412,9
572,572,1,0.1974000000000018,9
581,581,1,0.23840000000000217,9
598,598,1,0.31670000000000087,9
601,601,1,0.22160000000000224,9
615,615,1,0.2571000000000012,9
647,652,6,9.9467,9
657,657,1,0.22909999999999542,9
666,668,3,1.9296999999999969,9
673,674,2,1.0523999999999987,9
704,704,1,0.36129999999999995,9
735,735,1,0.296200000000006,9
811,815,5,3.1347999999999985,9
956,956,1,0.18260000000000076,9
63,63,1,0.21982000000000035,10
424,427,4,3.9860099999999994,10
479,483,5,12.23206,10
525,528,4,2.5984,10
577,583,7,33.79603,10
604,604,1,0.25329999999999586,10
731,733,3,0.8325999999999993,10
775,775,1,0.21979999999999933,10
875,875,1,0.22910000000000252,10
932,933,2,0.5308999999999955,10
83,83,1,0.18998999999999988,11
253,253,1,0.3427199999999999,11
355,357,3,0.7339199999999995,11
374,375,2,0.54575,11
389,393,5,1.6204999999999998,11
410,415,6,4.883884,11
420,422,3,1.0468169999999999,11
426,427,2,0.6146799999999999,11
473,474,2,0.6500599999999999,11
515,517,3,1.7918800000000004,11
527,530,4,1.5459999999999994,11
547,552,6,30.19737,11
574,575,2,0.558799999999998,11
585,585,1,0.23850000000000193,11
643,646,4,6.357200000000006,11
701,702,2,0.45819999999999794,11
704,704,1,0.22350000000000136,11
806,806,1,0.22169999999999845,11
844,845,2,0.6555999999999997,11
850,850,1,0.19369999999999976,11
243,243,1,0.18999100000000002,12
393,395,3,1.551593,12
440,442,3,2.48292,12
452,456,5,4.179790000000001,12
459,464,6,9.384129999999999,12
502,506,5,2.9206999999999965,12
584,587,4,1.827300000000001,12
596,603,8,29.830399999999997,12
642,642,1,0.23290000000000077,12
685,687,3,0.6444000000000045,12
151,151,1,0.21047999999999956,13
270,271,2,0.6072199999999999,13
416,419,4,3.622869999999999,13
423,427,5,4.716199999999999,13
481,482,2,0.4992000000000001,13
497,500,4,2.902100000000001,13
503,505,3,0.8270000000000017,13
517,518,2,0.45449999999999946,13
540,541,2,1.1306000000000012,13
549,549,1,0.21039999999999992,13
571,581,11,24.847800000000003,13
635,635,1,0.24580000000000268,13
684,686,3,1.0020999999999987,13
713,714,2,4.097899999999996,13
275,275,1,0.24401000000000006,14
411,413,3,1.749038,14
422,424,3,1.791874,14
465,468,4,2.3246,14
488,490,3,3.27267,14
494,496,3,0.7637199999999993,14
512,513,2,0.5215399999999999,14
543,547,5,10.85373,14
560,562,3,1.6019000000000005,14
614,618,5,24.972599999999996,14
631,631,1,0.1880999999999986,14
686,687,2,0.45830000000000126,14
723,724,2,0.5065999999999988,14
743,746,4,1.7284999999999968,14
769,769,1,0.29059999999999775,14
392,395,4,4.453607,15
423,427,5,4.89133,15
445,446,2,1.2815299999999992,15
477,482,6,4.783250000000001,15
533,533,1,0.28500000000000014,15
551,558,8,16.0896,15
586,586,1,0.18810000000000215,15
597,600,4,2.8667000000000016,15
609,614,6,10.257600000000004,15
633,633,1,0.22910000000000252,15
704,704,1,0.21979999999999933,15
724,729,6,6.6143,15
733,736,4,1.2665999999999968,15
752,752,1,0.23099999999999454,15
70,70,1,0.18440999999999974,16
310,312,3,0.8866200000000002,16
421,426,6,10.9207,16
471,472,2,0.4098000000000006,16
516,519,4,4.211499999999999,16
546,549,4,2.0824,16
557,558,2,0.4693999999999967,16
591,597,7,11.975000000000001,16
606,611,6,18.6115,16
302,304,3,1.0430799999999998,17
358,359,2,0.6984899999999996,17
365,366,2,0.4656600000000015,17
417,418,2,0.6966300000000007,17
457,459,3,0.9071099999999994,17
466,474,9,19.2747,17
481,484,4,3.7719000000000023,17
555,558,4,2.4269999999999996,17
567,568,2,0.8363000000000014,17
607,607,1,0.2160999999999973,17
609,614,6,4.9696,17
623,626,4,2.7325000000000017,17
633,633,1,0.23469999999999658,17
635,641,7,4.813099999999999,17
649,650,2,0.7637,17
102,102,1,0.20120000000000005,18
282,284,3,1.0672999999999995,18
336,339,4,1.6800999999999995,18
357,357,1,0.18440000000000012,18
360,360,1,0.29800000000000004,18
412,413,2,0.6966000000000019,18
435,440,6,6.090799999999998,18
474,477,4,4.321400000000001,18
480,483,4,4.401600000000002,18
584,584,1,0.3166000000000011,18
604,604,1,0.19369999999999976,18
625,629,5,25.879699999999996,18
297,297,1,0.25332,19
470,473,4,2.909475,19
497,501,5,14.189720000000001,19
517,521,5,10.5351,19
529,529,1,0.2792999999999992,19
584,585,2,0.5754999999999981,19
608,613,6,18.665699999999998,19
620,623,4,1.4397999999999982,19
672,672,1,0.197499999999998,19
693,693,1,0.33899999999999864,19
695,695,1,0.2161000000000044,19
708,708,1,0.22909999999999542,19
714,718,5,3.557699999999997,19
267,269,3,0.9592700000000001,20
277,277,1,0.21233999999999997,20
341,344,4,1.6186470000000002,20
374,374,1,0.27566999999999986,20
403,403,1,0.18627000000000038,20
414,419,6,3.4552199999999997,20
449,449,1,0.20115999999999978,20
513,513,1,0.22537999999999947,20
516,520,5,5.988480000000001,20
558,564,7,38.3874,20
606,606,1,0.33899999999999864,20
682,682,1,0.21419999999999817,20
728,728,1,0.32039999999999935,20
157,157,1,0.18254000000000126,21
351,351,1,0.21419999999999995,21
427,430,4,3.73649,21
474,479,6,16.901670000000003,21
483,485,3,0.6555999999999997,21
511,511,1,0.283100000000001,21
573,573,1,0.3110999999999997,21
577,579,3,1.2256,21
618,623,6,17.0229,21
635,642,8,5.390500000000003,21
659,660,2,0.5309000000000026,21
345,346,2,0.4378000000000011,22
409,412,4,2.902000000000001,22
417,417,1,0.3351999999999986,22
420,420,1,0.21609999999999907,22
432,432,1,0.2812000000000001,22
473,477,5,3.3771000000000004,22
494,497,4,3.1403999999999996,22
502,504,3,0.9109000000000016,22
510,514,5,9.3524,22
554,554,1,0.19189999999999685,22
558,558,1,0.18439999999999657,22
577,579,3,21.3217,22
129,129,1,0.20489999999999853,23
236,236,1,0.329699999999999,23
241,241,1,0.33530000000000015,23
355,359,5,2.0955000000000013,23
364,364,1,0.2160999999999973,23
403,404,2,0.6091000000000015,23
437,438,2,0.9313000000000002,23
450,453,4,1.739799999999999,23
495,498,4,3.5894000000000013,23
517,521,5,10.943100000000001,23
525,528,4,3.455199999999998,23
535,535,1,0.19189999999999685,23
554,554,1,0.2383999999999986,23
563,566,4,2.8181999999999974,23
577,577,1,0.20300000000000296,23
