DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
18,18,18,18,18,15,12,52,25,42,19,25,152,37,36,27,6,36,77,42,100,91,38,71,327,69,9,101,139,81,43,178,224,48,6,207,107,125,148,0,0,0,0,0,0,0,0,0,0,0
133,133,133,133,133,15,3,63,38,16,18,69,52,76,80,29,11,45,14,49,10,45,78,132,28,39,9,97,12,83,80,170,123,142,119,147,96,207,83,0,0,0,0,0,0,0,0,0,0,0
39,39,39,39,39,6,5,31,25,118,25,152,22,48,98,22,65,15,5,17,17,10,9,20,50,9,34,38,63,7,48,35,13,120,21,164,81,127,60,0,0,0,0,0,0,0,0,0,0,0
15,15,15,15,15,12,21,51,98,19,69,52,37,28,14,24,66,190,137,100,91,3,4,53,69,110,3,44,19,13,8,137,60,154,158,139,33,62,76,0,0,0,0,0,0,0,0,0,0,0
15,15,15,15,15,3,9,12,42,18,152,22,30,36,77,79,16,31,52,10,45,38,70,67,39,90,142,139,139,68,80,83,70,42,316,55,150,234,60,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,5,34,2,16,25,52,37,45,80,27,58,20,72,42,17,10,78,71,327,9,72,133,12,125,130,143,33,132,6,67,216,144,77,169,0,0,0,0,0,0,0,0,0,0,0
12,12,12,12,12,21,15,20,118,69,22,30,48,98,29,21,45,20,49,91,3,9,132,28,110,9,24,17,86,3,104,224,51,76,82,118,193,89,54,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,9,8,19,19,152,37,45,28,14,22,6,15,77,17,45,38,4,9,50,90,7,16,13,81,91,145,22,48,40,207,68,4,114,11,0,0,0,0,0,0,0,0,0,0,0
5,5,5,5,5,34,66,41,18,52,30,48,36,77,24,11,190,14,5,10,78,70,41,69,72,71,87,63,83,20,77,123,142,21,147,77,149,197,92,0,0,0,0,0,0,0,0,0,0,0
21,21,21,21,21,15,52,40,25,22,45,28,80,27,79,65,31,5,93,3,9,71,20,39,9,51,101,19,7,43,80,13,107,158,164,18,140,28,130,0,0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,8,112,59,69,37,48,36,98,29,58,66,72,137,10,38,4,132,53,9,7,9,97,4,13,80,103,60,120,316,139,174,152,165,64,0,0,0,0,0,0,0,0,0,0,0
34,34,34,34,34,66,63,11,152,30,28,80,14,22,21,16,20,52,17,78,70,9,67,110,71,9,38,132,108,48,7,70,36,67,30,52,101,32,154,0,0,0,0,0,0,0,0,0,0,0
15,15,15,15,15,44,31,116,52,45,36,98,77,24,6,20,77,42,91,9,71,41,125,90,51,34,44,62,68,8,178,132,48,82,21,117,284,207,148,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,51,11,22,48,80,14,27,79,11,45,14,49,45,4,132,20,199,27,9,3,139,59,130,80,130,51,103,207,216,66,70,69,186,0,0,0,0,0,0,0,0,0,0,0
21,21,21,21,21,112,12,14,37,28,98,77,29,49,65,15,5,17,10,70,9,53,28,42,9,142,12,86,27,143,37,48,42,147,77,30,86,200,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,45,45,63,2,38,30,36,52,27,22,8,66,190,137,5,3,40,41,13,50,9,34,133,61,81,3,82,35,74,6,164,35,10,74,265,0,0,0,0,0,0,0,0,0,0,0,0
44,44,44,44,44,31,20,25,45,80,14,29,24,21,16,141,52,93,38,30,20,52,69,7,3,24,17,83,91,19,137,65,76,139,68,86,144,114,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,51,19,98,48,98,14,22,79,6,20,31,42,10,78,132,53,125,39,71,142,16,13,7,20,145,83,107,40,30,77,107,73,148,0,0,0,0,0,0,0,0,0,0,0,0
112,112,112,112,112,12,41,42,3,52,77,24,49,11,45,72,49,17,9,9,13,199,9,51,133,87,63,13,52,77,33,120,21,21,87,96,164,83,0,0,0,0,0,0,0,0,0,0,0,0
63,63,63,63,63,2,37,16,25,14,27,79,8,65,15,20,148,91,4,41,52,28,110,9,24,101,19,108,43,80,224,36,158,216,18,81,172,60,0,0,0,0,0,0,0,0,0,0,0,0
31,31,31,31,31,20,3,118,36,14,29,49,21,66,190,77,17,45,70,20,125,50,90,9,16,97,4,68,80,103,22,48,86,77,103,33,188,76,0,0,0,0,0,0,0,0,0,0,0,0
51,51,51,51,51,19,59,19,57,77,22,8,6,16,141,14,5,10,40,53,199,69,27,34,87,38,35,130,48,7,18,103,227,35,68,150,80,60,0,0,0,0,0,0,0,0,0,0,0,0
