ti,tf,S_MR,S_MO,T,Archivo,I,P,Tp,tp,Ip
635,641,4.813099999999999,2.5300750000000036,7,17,0,0,0,-1,0.0
649,650,0.7637,0.0,2,17,0,0,0,-1,0.0
102,102,0.2012,0.0,1,18,0,0,0,-1,0.0
282,284,1.0672999999999997,0.3973279999999999,3,18,0,0,0,-1,0.0
336,339,1.6800999999999997,0.411054,4,18,0,0,0,-1,0.0
357,357,0.1844000000000001,0.0,1,18,0,0,0,-1,0.0
360,360,0.298,0.0,1,18,0,1,9,2,0.3205000000000009
412,413,0.6966000000000019,0.0,2,18,0,0,0,-1,0.0
435,440,6.090799999999998,2.6654449999999983,6,18,0,0,0,-1,0.0
474,477,4.321400000000001,1.1816320000000005,4,18,0,1,12,0,0.0
480,483,4.401600000000002,1.8706369999999983,4,18,0,0,0,-1,0.0
584,584,0.3166000000000011,0.0,1,18,0,0,0,-1,0.0
604,604,0.1936999999999997,0.0,1,18,0,0,0,-1,0.0
625,629,25.8797,13.587555000000002,5,18,0,1,31,0,1.1846999999999994
297,297,0.25332,0.0,1,19,0,0,0,-1,0.0
470,473,2.909475,1.3088140000000017,4,19,0,0,0,-1,0.0
497,501,14.18972,5.155431999999998,5,19,0,1,14,0,0.7059500000000003
517,521,10.5351,4.484600999999998,5,19,0,1,6,0,0.0
529,529,0.2792999999999992,0.0,1,19,0,0,0,-1,0.0
584,585,0.5754999999999981,0.0,2,19,0,1,5,0,0.0
608,613,18.6657,8.945727999999999,6,19,0,1,10,0,0.2458999999999989
620,623,1.4397999999999982,0.3904119999999977,4,19,0,0,0,-1,0.0
672,672,0.197499999999998,0.0,1,19,0,0,0,-1,0.0
693,693,0.3389999999999986,0.0,1,19,0,1,10,0,0.0
695,695,0.2161000000000044,0.0,1,19,0,1,10,2,0.0
708,708,0.2290999999999954,0.0,1,19,0,0,0,-1,0.0
714,718,3.557699999999997,2.254522999999999,5,19,0,1,7,2,0.0
267,269,0.95927,0.303704999999999,3,20,0,0,0,-1,0.0
277,277,0.2123399999999999,0.0,1,20,0,0,0,-1,0.0
341,344,1.6186470000000002,0.0,4,20,0,1,61,3,1.788148
