ti,tf,S_MR,S_MO,T,Archivo,I,P,Tp,tp,Ip
666,668,1.9296999999999969,0.0557329603982119,3,9,0,0,0,-1,0.0
673,674,1.052399999999999,0.0264905044881966,2,9,0,0,0,-1,0.0
704,704,0.3612999999999999,0.0,1,9,0,0,0,-1,0.0
735,735,0.296200000000006,0.0,1,9,0,0,0,-1,0.0
811,815,3.1347999999999985,0.019639525612758,5,9,0,0,0,-1,0.0
956,956,0.1826000000000007,0.0,1,9,0,0,0,-1,0.0
63,63,0.2198200000000003,0.0,1,10,0,0,0,-1,0.0
424,427,3.98601,0.0420141764037157,4,10,0,1,78,0,0.0
479,483,12.23206,0.1273819232168309,5,10,0,1,43,0,0.0
525,528,2.5984,0.0377827485770889,4,10,0,0,0,-1,0.0
577,583,33.79603,0.4398571039380151,7,10,0,1,17,3,0.0
604,604,0.2532999999999958,0.0,1,10,0,0,0,-1,0.0
731,733,0.8325999999999993,0.0,3,10,0,1,10,2,0.26080000000000325
775,775,0.2197999999999993,0.0,1,10,0,1,31,0,0.0
875,875,0.2291000000000025,0.0,1,10,0,1,3,0,0.0
932,933,0.5308999999999955,0.0,2,10,0,1,21,0,0.0
83,83,0.1899899999999998,0.0,1,11,0,0,0,-1,0.0
253,253,0.3427199999999999,0.0,1,11,0,0,0,-1,0.0
355,357,0.7339199999999995,0.0,3,11,0,0,0,-1,0.0
374,375,0.54575,0.0119092315617309,2,11,0,0,0,-1,0.0
389,393,1.6204999999999998,0.0,5,11,0,0,0,-1,0.0
410,415,4.883884,0.0293010030087387,6,11,0,0,0,-1,0.0
420,422,1.046817,0.0187470256583486,3,11,0,0,0,-1,0.0
426,427,0.6146799999999999,0.0,2,11,0,0,0,-1,0.0
473,474,0.6500599999999999,0.0,2,11,0,1,3,0,0.23654999999999982
515,517,1.7918800000000004,0.0292860661277702,3,11,0,1,32,0,0.0
527,530,1.5459999999999994,0.0236663042171436,4,11,0,0,0,-1,0.0
547,552,30.19737,0.4087071081121862,6,11,0,1,6,3,0.2364999999999995
574,575,0.558799999999998,0.0,2,11,0,0,0,-1,0.0
585,585,0.2385000000000019,0.0,1,11,0,0,0,-1,0.0
643,646,6.357200000000006,0.1049173001266365,4,11,0,1,3,0,0.0
701,702,0.4581999999999979,0.0,2,11,0,1,9,2,0.0
704,704,0.2235000000000013,0.0,1,11,0,0,0,-1,0.0
806,806,0.2216999999999984,0.0,1,11,0,0,0,-1,0.0
844,845,0.6555999999999997,0.0269328309881774,2,11,0,0,0,-1,0.0
850,850,0.1936999999999997,0.0,1,11,0,0,0,-1,0.0
243,243,0.189991,0.0,1,12,0,1,64,1,0.0
393,395,1.551593,0.0,3,12,0,0,0,-1,0.0
440,442,2.48292,0.0237783542657068,3,12,0,1,9,0,0.2029999999999994
452,456,4.179790000000001,0.0443916890912122,5,12,0,0,0,-1,0.0
459,464,9.38413,0.1082344425064939,6,12,0,0,0,-1,0.0
502,506,2.9206999999999965,0.0319758338261819,5,12,0,0,0,-1,0.0
584,587,1.827300000000001,0.0446417957847304,4,12,0,0,0,-1,0.0
596,603,29.8304,0.382605558971345,8,12,0,0,0,-1,0.0
642,642,0.2329000000000007,0.0,1,12,0,0,0,-1,0.0
685,687,0.6444000000000045,0.0,3,12,0,0,0,-1,0.0
151,151,0.2104799999999995,0.0,1,13,0,0,0,-1,0.0
270,271,0.6072199999999999,0.0,2,13,0,0,0,-1,0.0
416,419,3.622869999999999,0.0318488804158758,4,13,0,0,0,-1,0.0
423,427,4.716199999999999,0.041865519254885394,5,13,0,0,0,-1,0.0
481,482,0.4992000000000001,0.0,2,13,0,0,0,-1,0.0
497,500,2.902100000000001,0.0287416199164551,4,13,0,0,0,-1,0.0
503,505,0.8270000000000017,0.0,3,13,0,0,0,-1,0.0
517,518,0.4544999999999994,0.0,2,13,0,0,0,-1,0.0
540,541,1.1306000000000012,0.0136876298319101,2,13,0,1,8,0,0.0
549,549,0.2103999999999999,0.0,1,13,0,0,0,-1,0.0
571,581,24.847800000000003,0.2525247665587455,11,13,0,1,12,0,0.0
635,635,0.2458000000000026,0.0,1,13,0,1,13,1,0.0
684,686,1.0020999999999989,0.0201494610552002,3,13,0,1,39,0,0.0
713,714,4.097899999999996,0.0085403193186854,2,13,0,1,6,0,0.0
275,275,0.24401,0.0,1,14,0,0,0,-1,0.0
411,413,1.749038,0.0236463038091546,3,14,0,0,0,-1,0.0
422,424,1.791874,0.0140766882378464,3,14,0,0,0,-1,0.0
465,468,2.3246,0.0138016620484998,4,14,0,1,12,4,0.0
488,490,3.27267,0.0382525459262038,3,14,0,1,10,0,0.389289999999999
494,496,0.7637199999999993,0.0,3,14,0,0,0,-1,0.0
512,513,0.5215399999999999,0.0,2,14,0,0,0,-1,0.0
543,547,10.85373,0.1240798750004852,5,14,0,1,7,3,0.16949999999999932
560,562,1.6019000000000003,0.0,3,14,0,0,0,-1,0.0
614,618,24.9726,0.3722166409890844,5,14,0,1,8,3,0.620199999999997
631,631,0.1880999999999986,0.0,1,14,0,0,0,-1,0.0
686,687,0.4583000000000012,0.0,2,14,0,0,0,-1,0.0
723,724,0.5065999999999988,0.0,2,14,0,1,18,0,0.0
743,746,1.7284999999999968,0.0304654899243312,4,14,0,0,0,-1,0.0
769,769,0.2905999999999977,0.0,1,14,0,1,8,2,0.0
392,395,4.453607,0.0531570036508105,4,15,0,1,28,0,0.0
423,427,4.89133,0.050338598622057903,5,15,0,0,0,-1,0.0
445,446,1.2815299999999992,0.0,2,15,0,1,9,0,0.0
477,482,4.783250000000001,0.0502347062194686,6,15,0,1,20,0,0.0
533,533,0.2850000000000001,0.0,1,15,0,0,0,-1,0.0
551,558,16.0896,0.196687593913301,8,15,0,1,7,0,0.0
586,586,0.1881000000000021,0.0,1,15,0,0,0,-1,0.0
597,600,2.8667000000000016,0.0366078612780915,4,15,0,0,0,-1,0.0
609,614,10.257600000000004,0.096480585768553,6,15,0,0,0,-1,0.0
633,633,0.2291000000000025,0.0,1,15,0,1,10,0,0.0
704,704,0.2197999999999993,0.0,1,15,0,1,28,0,0.0
724,729,6.6143,0.1209646088785906,6,15,0,2,11,4,0.0
733,736,1.2665999999999968,0.0,4,15,0,0,0,-1,0.0
752,752,0.2309999999999945,0.0,1,15,0,0,0,-1,0.0
70,70,0.1844099999999997,0.0,1,16,0,0,0,-1,0.0
310,312,0.8866200000000002,0.0116063483671566,3,16,0,0,0,-1,0.0
421,426,10.9207,0.1053323669169121,6,16,0,1,17,0,0.48240000000000016
471,472,0.4098000000000006,0.0,2,16,0,0,0,-1,0.0
516,519,4.211499999999999,0.0612929553505863,4,16,0,1,34,0,0.0
546,549,2.0824,0.0186857487438378,4,16,0,1,18,0,0.0
557,558,0.4693999999999967,0.0,2,16,0,0,0,-1,0.0
591,597,11.975,0.1480255029702251,7,16,0,0,0,-1,0.0
606,611,18.6115,0.3088460544884494,6,16,0,0,0,-1,0.0
302,304,1.0430799999999998,0.0152379596498153,3,17,0,0,0,-1,0.0
358,359,0.6984899999999996,0.0,2,17,0,0,0,-1,0.0
365,366,0.4656600000000015,0.0,2,17,0,0,0,-1,0.0
417,418,0.6966300000000007,0.0,2,17,0,0,0,-1,0.0
457,459,0.9071099999999994,0.0226154900211388,3,17,0,1,30,0,0.0
466,474,19.2747,0.1780136748786361,9,17,0,0,0,-1,0.0
481,484,3.771900000000002,0.0444889924496392,4,17,0,0,0,-1,0.0
555,558,2.427,0.0281263394168356,4,17,0,1,2,0,0.0
567,568,0.8363000000000014,0.0138650346853126,2,17,0,0,0,-1,0.0
607,607,0.2160999999999973,0.0,1,17,0,0,0,-1,0.0
609,614,4.9696,0.0823709669527708,6,17,0,0,0,-1,0.0
623,626,2.7325000000000017,0.0,4,17,0,0,0,-1,0.0
633,633,0.2346999999999965,0.0,1,17,0,0,0,-1,0.0
635,641,4.813099999999999,0.0720978669039309,7,17,0,0,0,-1,0.0
649,650,0.7637,0.0,2,17,0,0,0,-1,0.0
102,102,0.2012,0.0,1,18,0,0,0,-1,0.0
282,284,1.0672999999999997,0.0108545600199843,3,18,0,0,0,-1,0.0
336,339,1.6800999999999997,0.0112295391073738,4,18,0,0,0,-1,0.0
357,357,0.1844000000000001,0.0,1,18,0,0,0,-1,0.0
360,360,0.298,0.0,1,18,0,1,9,2,0.2309000000000001
412,413,0.6966000000000019,0.0,2,18,0,0,0,-1,0.0
435,440,6.090799999999998,0.0728169993870733,6,18,0,0,0,-1,0.0
474,477,4.321400000000001,0.0322808749082222,4,18,0,1,12,0,0.3241000000000014
480,483,4.401600000000002,0.0511037268757887,4,18,0,0,0,-1,0.0
584,584,0.3166000000000011,0.0,1,18,0,0,0,-1,0.0
604,604,0.1936999999999997,0.0,1,18,0,0,0,-1,0.0
625,629,25.8797,0.371196923630698,5,18,0,1,31,0,0.0
297,297,0.25332,0.0,1,19,0,0,0,-1,0.0
470,473,2.909475,0.0368250443637436,4,19,0,0,0,-1,0.0
497,501,14.18972,0.1450542339203762,5,19,0,1,14,0,0.7561999999999998
517,521,10.5351,0.1261796028913878,5,19,0,1,6,0,0.0
529,529,0.2792999999999992,0.0,1,19,0,0,0,-1,0.0
584,585,0.5754999999999981,0.0,2,19,0,1,5,0,0.0
608,613,18.6657,0.2516987367693066,6,19,0,1,10,0,0.0
620,623,1.4397999999999982,0.0109847076973028,4,19,0,0,0,-1,0.0
672,672,0.197499999999998,0.0,1,19,0,0,0,-1,0.0
693,693,0.3389999999999986,0.0,1,19,0,1,10,0,0.0
695,695,0.2161000000000044,0.0,1,19,0,1,10,2,0.0
708,708,0.2290999999999954,0.0,1,19,0,0,0,-1,0.0
714,718,3.557699999999997,0.0634336960745226,5,19,0,1,7,2,0.0
267,269,0.95927,0.0085174654526687,3,20,0,0,0,-1,0.0
277,277,0.2123399999999999,0.0,1,20,0,0,0,-1,0.0
341,344,1.6186470000000002,0.0,4,20,0,1,61,3,0.0
374,374,0.2756699999999998,0.0,1,20,0,1,22,0,0.39674999999999994
403,403,0.1862700000000003,0.0,1,20,0,0,0,-1,0.0
414,419,3.45522,0.0118407086863311,6,20,0,1,20,0,0.4339999999999993
449,449,0.2011599999999997,0.0,1,20,0,0,0,-1,0.0
513,513,0.2253799999999994,0.0,1,20,0,0,0,-1,0.0
516,520,5.988480000000001,0.0864234508971012,5,20,0,1,88,0,0.0
558,564,38.3874,0.4983453055459313,7,20,0,1,17,0,0.26080000000000325
606,606,0.3389999999999986,0.0,1,20,0,0,0,-1,0.0
682,682,0.2141999999999981,0.0,1,20,0,0,0,-1,0.0
728,728,0.3203999999999993,0.0,1,20,0,1,1,1,0.0
157,157,0.1825400000000012,0.0,1,21,0,0,0,-1,0.0
351,351,0.2141999999999999,0.0,1,21,0,0,0,-1,0.0
427,430,3.73649,0.0393975352292817,4,21,0,0,0,-1,0.0
474,479,16.901670000000003,0.1791441799919281,6,21,0,0,0,-1,0.0
483,485,0.6555999999999997,0.0102311859435307,3,21,0,0,0,-1,0.0
511,511,0.283100000000001,0.0,1,21,0,1,17,0,0.0
573,573,0.3110999999999997,0.0,1,21,0,1,19,0,0.0
577,579,1.2256,0.0215517368789044,3,21,0,1,19,4,0.0
618,623,17.0229,0.2261931059180646,6,21,0,1,15,0,0.0
635,642,5.390500000000003,0.0395277940415759,8,21,0,0,0,-1,0.0
659,660,0.5309000000000026,0.0116914886965021,2,21,0,1,7,0,0.0
345,346,0.4378000000000011,0.0,2,22,0,0,0,-1,0.0
409,412,2.902000000000001,0.0260174294535767,4,22,0,1,53,0,0.0
417,417,0.3351999999999986,0.0081173526018123,1,22,0,0,0,-1,0.0
420,420,0.216099999999999,0.0096340884926338,1,22,0,0,0,-1,0.0
432,432,0.2812000000000001,0.0,1,22,0,0,0,-1,0.0
473,477,3.3771000000000004,0.0399161750951871,5,22,0,1,27,0,0.0
494,497,3.1404,0.0264964046425882,4,22,0,1,7,0,0.0987000000000009
502,504,0.9109000000000016,0.0121373128268836,3,22,0,0,0,-1,0.0
510,514,9.3524,0.0905839530854589,5,22,0,0,0,-1,0.0
554,554,0.1918999999999968,0.0,1,22,0,1,15,0,0.0
558,558,0.1843999999999965,0.0,1,22,0,1,15,4,0.0
577,579,21.3217,0.3739282689497495,3,22,0,1,12,0,0.0
129,129,0.2048999999999985,0.0,1,23,0,0,0,-1,0.0
236,236,0.329699999999999,0.0,1,23,0,0,0,-1,0.0
241,241,0.3353000000000001,0.0,1,23,0,1,110,4,1.743500000000001
355,359,2.0955000000000013,0.0265525797292353,5,23,0,1,108,0,0.0
364,364,0.2160999999999973,0.0,1,23,0,0,0,-1,0.0
403,404,0.6091000000000015,0.0,2,23,0,0,0,-1,0.0
437,438,0.9313000000000002,0.0156632929254721,2,23,0,1,23,0,0.7767000000000017
450,453,1.739799999999999,0.0,4,23,0,0,0,-1,0.0
495,498,3.5894000000000013,0.0503597845166168,4,23,0,1,32,2,0.0
517,521,10.9431,0.117729403516096,5,23,0,1,10,0,0.7674000000000021
525,528,3.455199999999998,0.0317865162390703,4,23,0,0,0,-1,0.0
535,535,0.1918999999999968,0.0,1,23,0,0,0,-1,0.0
554,554,0.2383999999999986,0.0,1,23,0,0,0,-1,0.0
563,566,2.8181999999999974,0.0330652350806636,4,23,0,0,0,-1,0.0
577,577,0.2030000000000029,0.0,1,23,0,0,0,-1,0.0
582,586,2.2687000000000026,0.0,5,23,0,1,2,4,0.0
594,595,0.469300000000004,0.0,2,23,0,0,0,-1,0.0
615,615,0.2310000000000016,0.0,1,23,0,0,0,-1,0.0
635,635,0.2700999999999993,0.0,1,23,0,0,0,-1,0.0
660,662,13.0255,0.226584133093072,3,23,0,1,17,0,0.0
101,101,0.2589100000000002,0.0,1,24,0,0,0,-1,0.0
129,129,0.1825400000000003,0.0,1,24,0,0,0,-1,0.0
337,338,0.562518,0.0,2,24,0,0,0,-1,0.0
362,362,0.206754,0.0,1,24,0,0,0,-1,0.0
378,378,0.3557699999999999,0.0,1,24,0,1,7,0,0.0
392,397,7.817570000000001,0.08515138389075559,6,24,0,0,0,-1,0.0
424,426,1.8217099999999995,0.0142455810559475,3,24,0,1,7,0,0.0
451,451,0.3986,0.0,1,24,0,0,0,-1,0.0
459,463,3.2484,0.0258406161246879,5,24,0,0,0,-1,0.0
518,518,0.2234999999999996,0.0,1,24,0,0,0,-1,0.0
522,526,9.3338,0.100662124073998,5,24,0,1,25,0,0.0
574,574,0.2197999999999993,0.0,1,24,0,0,0,-1,0.0
612,616,9.0879,0.130924537353181,5,24,0,1,4,0,0.0
689,689,0.2142000000000052,0.0,1,24,0,1,17,3,0.0
697,701,17.969,0.2553033772949516,5,24,0,1,1,0,0.0
83,83,0.1806799999999997,0.0,1,25,0,0,0,-1,0.0
145,145,0.2682200000000003,0.0,1,25,0,1,55,0,1.0039700000000007
322,323,1.09897,0.0110550487677399,2,25,0,1,112,0,0.0
331,332,0.4619400000000002,0.0,2,25,0,0,0,-1,0.0
338,338,0.24214,0.0,1,25,0,0,0,-1,0.0
353,353,0.24587,0.0,1,25,0,0,0,-1,0.0
444,448,2.8330900000000003,0.033122469500822,5,25,0,1,81,2,0.0
499,503,10.68047,0.120530115030135,5,25,0,1,43,0,0.0
586,590,6.057400000000001,0.0711271255229609,5,25,0,1,7,0,0.0
593,594,0.4862000000000002,0.0,2,25,0,0,0,-1,0.0
597,602,6.841600000000003,0.0739535710395332,6,25,0,0,0,-1,0.0
615,620,21.6365,0.3150105989227308,6,25,0,0,0,-1,0.0
109,109,0.2104800000000004,0.0,1,26,0,0,0,-1,0.0
283,284,0.5513399999999997,0.0,2,26,0,0,0,-1,0.0
286,286,0.2365499999999993,0.0,1,26,0,1,8,1,0.3036100000000008
345,348,1.0914599999999997,0.0,4,26,0,0,0,-1,0.0
