ti,tf,T,S,Archivo
568,568,1,0.26403099999999924,5
593,593,1,0.3554479999999991,5
614,615,2,4.871169999999999,5
636,636,1,0.958355000000001,5
664,665,2,8.606777999999998,5
669,669,1,1.784759000000001,5
707,707,1,0.33616600000000574,5
740,740,1,0.8843090000000018,5
806,806,1,0.28093199999999996,5
821,821,1,0.25998599999999783,5
849,849,1,0.3727760000000018,5
893,893,1,0.4796830000000014,5
932,932,1,0.21853699999999776,5
934,934,1,0.23828400000000016,5
943,943,1,0.3361850000000004,5
1001,1001,1,0.24137099999999378,5
26,26,1,0.2350159999999999,6
28,29,2,0.7458390000000001,6
31,32,2,1.2448029999999997,6
34,38,5,4.416067000000001,6
224,224,1,0.24715699999999963,6
271,271,1,0.20568100000000022,6
321,321,1,0.22381399999999907,6
342,342,1,0.2842860000000016,6
363,363,1,0.3200100000000017,6
401,402,2,1.568807999999997,6
435,435,1,0.3787169999999982,6
481,482,2,3.631178000000002,6
532,533,2,8.934696000000002,6
536,536,1,1.331082000000002,6
566,567,2,2.208198000000003,6
593,593,1,0.22525699999999915,6
604,604,1,0.5335380000000001,6
661,662,2,1.0726730000000018,6
687,690,4,3.1399839999999983,6
790,791,2,0.6604770000000002,6
843,843,1,0.22433699999999845,6
850,850,1,0.24027200000000448,6
873,873,1,0.3198139999999938,6
986,986,1,0.30739399999999506,6
992,992,1,0.43697699999999884,6
24,24,1,0.2732709999999998,7
26,26,1,0.21919699999999986,7
28,32,5,2.0949960000000005,7
34,38,5,4.334117999999999,7
75,75,1,0.2502429999999993,7
145,145,1,0.2661030000000011,7
188,188,1,0.2920719999999992,7
245,245,1,0.24602900000000005,7
250,250,1,0.30833599999999883,7
271,271,1,0.2755470000000013,7
308,308,1,0.2617510000000003,7
312,312,1,0.20408699999999946,7
385,385,1,0.24065000000000047,7
391,391,1,0.23878300000000152,7
401,402,2,1.0712810000000026,7
497,498,2,5.711666000000001,7
545,545,1,0.2214899999999993,7
556,556,1,0.546363999999997,7
560,560,1,11.724732,7
586,586,1,0.4479990000000029,7
609,609,1,0.2670620000000028,7
613,614,2,1.3054630000000031,7
695,695,1,0.27731500000000153,7
755,755,1,0.27305700000000144,7
778,778,1,1.6535030000000006,7
860,860,1,0.2672139999999956,7
902,902,1,0.297107000000004,7
1015,1015,1,0.23548600000000164,7
24,29,6,1.6196699999999997,8
31,38,8,5.684262,8
97,97,1,0.30349299999999957,8
139,139,1,0.22351299999999874,8
143,143,1,0.34223800000000004,8
202,202,1,0.26354400000000133,8
216,216,1,0.38383900000000004,8
307,307,1,0.2898289999999992,8
313,313,1,0.4359169999999999,8
371,371,1,0.24223099999999853,8
472,472,1,1.465995000000003,8
481,481,1,5.285861000000001,8
497,497,1,0.4981679999999997,8
564,564,1,4.4452,8
568,568,1,2.6075039999999987,8
595,595,1,0.19812600000000202,8
606,606,1,0.42033599999999893,8
609,609,1,0.2712980000000016,8
636,636,1,0.27561099999999783,8
638,640,3,2.3319620000000043,8
656,656,1,0.6566119999999955,8
677,677,1,0.8839989999999958,8
716,716,1,0.3309799999999967,8
726,726,1,0.6252020000000016,8
743,743,1,3.2222070000000045,8
796,796,1,0.2982599999999991,8
892,892,1,0.2548929999999956,8
24,24,1,0.43630100000000027,9
28,28,1,0.5274420000000002,9
31,32,2,1.027603,9
34,38,5,4.75701,9
